Code,State,Population,Income,Healthiness rate,latitude,longitude
AK,Alaska,731158,48639,0.727,58.301598,-134.420212
AL,Alabama,4921532,231120,0.013,32.377716,-86.300568
AR,Arkansas,3030522,143133,-0.287,34.746613,-92.288986
AZ,Arizona,7421401,369563,-0.087,33.448143,-112.096962
CA,California,39368078,2867031,0.14,38.576668,-121.493629
CO,Colorado,5807719,368286,-0.093,39.739227,-104.984856
CT,Connecticut,3557006,286780,0.91,41.764046,-72.682198
DE,Delaware,986809,56138,0.01,39.157307,-75.519722
FL,Florida,21733312,1218203,-0.423,30.438118,-84.281296
GA,Georgia,10710017,563259,-0.427,33.749027,-84.388229
HI,Hawaii,1407006,87480,0.543,21.307442,-157.857376
IA,Iowa,3163561,174969,0.03,41.591087,-93.603729
ID,Idaho,1826913,88889,0.31,43.617775,-116.199722
IL,Illinois,12587530,814837,-0.157,39.798363,-89.654961
IN,Indiana,6754953,348001,0.327,39.768623,-86.162643
KS,Kansas,2913805,162545,0.12,39.048191,-95.677956
KY,Kentucky,4477251,205711,-0.52,38.186722,-84.875374
LA,Louisiana,4645318,236900,-1.11,30.457069,-91.187393
MA,Massachusetts,6893574,560430,0.333,42.358162,-71.063698
MD,Maryland,6055802,418440,1.227,38.978764,-76.490936
ME,Maine,1350141,73704,0.277,44.307167,-69.781693
MI,Michigan,9966555,528465,-0.06,42.733635,-84.555328
MN,Minnesota,5657342,349868,0.603,44.955097,-93.102211
MO,Missouri,6151548,314377,0.18,38.579201,-92.172935
MS,Mississippi,2966786,124158,-0.2,32.303848,-90.182106
MT,Montana,1080577,57438,-0.717,46.585709,-112.018417
NC,North Carolina,10600823,530393,0.383,35.78043,-78.639099
ND,North Dakota,765309,44912,0.2,46.82085,-100.783318
NE,Nebraska,1937552,111443,0.627,40.808075,-96.699654
NH,New Hampshire,1366275,91002,0.48,43.206898,-71.537994
NJ,New Jersey,8882371,681494,1.263,40.220596,-74.769913
NM,New Mexico,2106319,97376,0.327,35.68224,-105.939728
NV,Nevada,3138259,169115,-0.71,39.163914,-119.766121
NY,New York,19336776,1481339,0.37,42.652843,-73.757874
OH,Ohio,11693217,624345,-0.14,39.961346,-82.999069
OK,Oklahoma,3980783,195168,-0.217,35.492207,-97.503342
OR,Oregon,4241507,245040,-0.633,44.938461,-123.030403
PA,Pennsylvania,12783254,815090,0.257,40.264378,-76.883598
RI,Rhode Island,1057125,65198,-0.267,41.830914,-71.414963
SC,South Carolina,5218040,247948,0.013,34.000343,-81.033211
SD,South Dakota,892717,50595,0.683,44.367031,-100.346405
TN,Tennessee,6886834,349911,-0.083,36.16581,-86.784241
TX,Texas,29360759,1626766,0.167,30.27467,-97.740349
UT,Utah,3249879,171814,0.37,40.777477,-111.888237
VA,Virginia,9303379,602601,0.34,37.538857,-77.43364
VT,Vermont,623347,36787,0.193,44.262436,-72.580536
WA,Washington,7693612,534171,0.157,47.035805,-122.905014
WI,Wisconsin,5832655,326066,-0.003,43.074684,-89.384445
WV,West Virginia,1784787,79962,-0.283,38.336246,-81.612328
WY,Wyoming,582328,36545,0.307,41.140259,-104.820236
